input_text,target_text
vi: Tôi 19 tuổi .,vsl: ﻿Tôi tuổi 19 .
vi: Bạn tên gì ?,vsl: Bạn tên gì ?
vi: Ai biết bơi ?,vsl: Biết bơi ai ?
vi: Con gà ăn gì ?,vsl: Con gà ăn gì ?
vi: Mít thì ngọt .,vsl: Mít ngọt .
vi: Ai mặc áo đỏ .,vsl: Áo đỏ ai ?
vi: Tôi thích mèo .,vsl: Tôi mèo thích .
vi: Con mèo ăn gì ?,vsl: Mèo ăn gì ?
vi: Con mèo ăn cá .,vsl: Mèo ăn cá .
vi: Tôi học lớp 12 .,vsl: Tôi học lớp 12 .
vi: Tôi học 4 môn .,vsl: Tôi học môn 4 .
vi: Con gà ăn thóc .,vsl: Con gà thóc ăn .
vi: Con gì biết bay ?,vsl: Động vật bay biết gì ?
vi: Tòa nhà cao và to .,vsl: Tòa nhà cao to .
vi: Bạn học lớp mấy ?,vsl: Bạn học lớp mấy ?
vi: Bạn học mấy môn ?,vsl: Bạn học môn mấy ?
vi: Tôi tên là Hiếu .,vsl: Tôi tên Hiếu .
vi: Nhà ai gần biển ?,vsl: Nhà gần biển ai ?
vi: 1 năm có mấy mùa ?,vsl: 1 năm mùa mấy ?
vi: 1 tuần có 7 ngày .,vsl: 1 tuần ngày 7 .
vi: 1 năm có 12 tháng .,vsl: 1 năm tháng 12 .
vi: Bây giờ là 7 giờ .,vsl: Bây giờ 7 giờ .
vi: Ai là lớp trưởng ?,vsl: Lớp trưởng ai ?
vi: Bạn thích màu gì ?,vsl: Bạn màu thích gì ?
vi: Tôi thích môn hóa .,vsl: Tôi môn hóa thích .
vi: Nho có chua không ?,vsl: Nho chua không ?
vi: Tôi sinh năm 1994 .,vsl: Tôi sinh năm 1994 .
vi: Đây là núi hay đồi ?,vsl: Núi hay đồi ?
vi: 1 năm có mấy tháng ?,vsl: 1 năm tháng mấy ?
vi: 1 năm có mấy mùa ?,vsl: 1 năm mùa mấy ?
vi: 1 tuần có mấy ngày ?,vsl: 1 tuần ngày mấy ?
vi: Bây giờ là mấy giờ ?,vsl: Bây giờ giờ mấy ?
vi: Ăn nho như thế nào ?,vsl: Ăn nho thế nào ?
vi: Ăn cam như thế nào ?,vsl: Ăn cam thế nào ?
vi: Cái áo này có mấy màu ?,vsl: Áo màu mấy?
vi: Bạn bao nhiêu tuổi ?,vsl: Bạn tuổi mấy ?
vi: Bạn có xe máy không ?,vsl: Bạn xe máy có ?
vi: 1 tháng có mấy tuần ?,vsl: 1 tháng tuần mấy ?
vi: Ăn xoài như thế nào ?,vsl: Ăn xoài thế nào ?
vi: Ba của tôi tốt bụng .,vsl: Ba tôi tốt .
vi: Tôi không thích rắn .,vsl: Tôi rắn không thích .
vi: Bạn thích con vật gì ?,vsl: Bạn động vật thích gì ?
vi: Tôi không thích màu đỏ .,vsl: Tôi màu đỏ không thích .
vi: Tôi không có bút chì .,vsl: Tôi bút chì không .
vi: Nhà bạn có mấy người ?,vsl: Gia đình bạn người mấy ?
vi: Bạn thích mùa gì nhất ?,vsl: Bạn mùa thích nhất gì ?
vi: Tôi thích con dê nhất .,vsl: Tôi con dê thích nhất .
vi: Bạn thích trái cây gì ?,vsl: Bạn trái cây thích gì ?
vi: Bạn thích nhất màu gì ?,vsl: Bạn màu thích nhất gì ?
vi: Áo của bạn có mấy màu ?,vsl: Áo bạn màu mấy?
vi: Chị của bạn đẹp không ?,vsl: Chị bạn đẹp ?
vi: Tôi thích mùa mưa nhất,vsl: Tôi mùa mưa thích nhất.
vi: Miền Bắc Việt Nam có mấy mùa ?,vsl: Miền Bắc Việt Nam mùa mấy?
"vi: Ở sông có cá , tôm , cua .","vsl: Cá , tôm , cua sông có"
vi: Nhà bạn có nuôi con gì ?,vsl: Nhà bạn động vật có gì ?
vi: Con vật gì sống ở sông ?,vsl: Sống ở sông động vật gì ?
vi: Con vật gì sống ở rừng ?,vsl: Sống ở rừng động vật gì ?
vi: Bạn không thích màu gì ?,vsl: Bạn màu không thích gì ?
vi: Bà nội của tôi già rồi .,vsl: Bà nội tôi già .
vi: Bạn sinh năm bao nhiêu ?,vsl: Bạn sinh năm mấy ?
vi: Ai thích nhìn thác nước ?,vsl: Thác nước nhìn thích ai ?
vi: 1 giờ có bao nhiêu phút ?,vsl: 1 giờ phút mấy?
vi: 1 ngày có bao nhiêu giờ ?,vsl: 1 ngày giờ mấy ?
vi: Gia đình tôi có 3 người .,vsl: Gia đình tôi người 3 .
vi: Việt Nam có lũ lụt không ?,vsl: Việt Nam lũ lụt có ?
vi: Trường của tôi có 3 tầng .,vsl: Trường tôi tầng 3 .
