vietnamese,vsl
Tôi muốn một ly sữa chua dâu,Tôi sữa chua dâu một muốn
Pha cho mình một nước ép thơm mát lạnh.,mình nước ép thơm một lạnh muốn
"Tôi muốn một ly cà phê sữa, ít đá, và thêm giấy ăn.",Tôi cà-phê sữa một đá ít giấy ăn muốn
"Cho Tôi một ly cà phê sữa, một ly nước ép cóc, và giấy ăn.",Tôi cà-phê sữa một nước ép cóc một giấy ăn muốn
Lấy cho Tôi một ly trà gừng nóng.,Tôi trà gừng một nóng muốn
Lấy giúp mình một ly trà xoài ít đường.,mình trà xoài một đường ít muốn
Làm cho mình một phần sữa chua chanh dây mát lạnh.,mình sữa chua chanh dây một lạnh muốn
Cho Tôi thêm một ly sữa tươi trân châu đường đen.,Tôi trà sữa một muốn
Tôi muốn một ly nước ép cóc và một ly nước ép ổi.,Tôi nước ép cóc một nước ép ổi một muốn
Tôi muốn ba ly trà dâu và thêm đường một chút.,Tôi trà dâu ba đường ít muốn
"Tôi muốn một ly trà dâu và một ly cà phê sữa, ít đá.",Tôi trà dâu một cà-phê sữa một đá ít muốn
Cho Tôi mượn phích cắm,Tôi phích cắm muốn
Cho mình một ly sữa tươi trân châu đường đen nha.,mình trà sữa một muốn
Cho Tôi một ít khăn giấy.,Tôi khăn giấy ít muốn
Tôi cần thêm một cái muỗng.,Tôi muỗng một muốn
"Cho Tôi hai ly nước ép ổi, ít ngọt.",Tôi nước ép ổi hai ngọt ít muốn
Tôi muốn thêm một ly trà gừng nóng.,Tôi trà gừng một nóng muốn
Cắm giùm mình cái sạc vào phích cắm kia với.,mình sạc phích cắm muốn
Cho Tôi thêm một ly cà phê đen.,Tôi cà-phê đen một muốn
Cho Tôi thêm một ly cà phê sữa.,Tôi cà-phê sữa một muốn
Tôi muốn một ly sữa chua dâu và một ly trà dâu.,sữa chua dâu một trà dâu một muốn
Mình uống một cà phê sữa đá.,mình cà-phê sữa một đá muốn
"Tôi gọi hai ly sữa tươi trân châu đường đen kem trứng, thêm đá.",Tôi trà sữa hai đá muốn
Tôi muốn lấy thêm giấy ăn,Tôi giấy ăn muốn
Tôi gọi hai ly cà phê sữa ít đá nhé.,Tôi cà-phê sữa hai đá ít muốn
Tôi muốn thêm giấy ăn và một phích cắm.,Tôi giấy ăn phích cắm muốn
Cho Tôi một ly nước ép thơm,Tôi nước ép thơm một muốn
Cho Tôi thêm một cái ống hút.,Tôi ống hút một muốn
Cho Tôi thêm một ly trà hoa đậu biếc.,Tôi trà hoa đậu biếc một muốn
Tôi muốn một ly cà phê đen và hai ly sữa chua xoài.,Tôi cà-phê đen một sữa chua xoài hai muốn
"Cho Tôi bốn ly cà phê sữa, thêm đá nhiều.",Tôi cà-phê sữa bốn đá nhiều muốn
Tôi lấy hai ly trà dâu và một ly sữa tươi trân châu đường đen.,Tôi trà dâu hai trà sữa một muốn
Cho mình một ly nước ép thơm không đá.,mình nước ép thơm một đá không muốn
Cho mình một hũ sữa chua dâu nha.,mình sữa chua dâu một muốn
"Cho Tôi hai ly cà phê đen và một ly trà xoài, cảm ơn.",Tôi cà-phê đen hai trà xoài một muốn
"Cho Tôi năm ly nước ép thơm, mang ra nhanh giúp.",Tôi nước ép thơm năm muốn
Mình uống một trà hoa đậu biếc nhé.,mình trà hoa đậu biếc một muốn
Làm cho Tôi một ly trà xoài,Tôi trà xoài một muốn
Tôi muốn một ly cà phê sữa,Tôi cà-phê sữa một muốn
Tôi muốn ba ly sữa tươi trân châu đường đen kem trứng và thêm giấy ăn.,Tôi trà sữa  ba giấy ăn muốn
Làm cho Tôi thêm một ly nước ép ổi.,Tôi nước ép ổi một muốn
Tôi muốn hai ly cà phê đen và cảm ơn.,Tôi cà-phê đen hai muốn
Cho Tôi thêm một ly sữa chua dâu.,Tôi sữa chua dâu một muốn
"Tôi muốn một ly cà phê đen, ít đường thôi.",Tôi cà-phê đen một đường ít muốn
Tôi muốn lấy thêm giấy ăn,Tôi giấy ăn muốn
"Cho Tôi bốn ly nước ép ổi và một ly trà gừng, cảm ơn.",Tôi nước ép ổi bốn trà gừng một muốn
"Cho Tôi một ly sữa chua dâu, không đường.",Tôi sữa chua dâu một đường không muốn
Tôi muốn hai ly sữa chua xoài và một ly sữa chua dâu.,Tôi sữa chua xoài hai sữa chua dâu một muốn
"Tôi muốn một ly nước ép thơm, một ly trà xoài, và thêm đá.",Tôi nước ép thơm một trà xoài một đá muốn
Cho Tôi ba ly sữa chua chanh dây và một phích cắm gần cửa.,Tôi sữa chua chanh dây ba phích cắm muốn
"Tôi gọi hai ly cà phê đen, một ly sữa chua dâu, và cảm ơn.",Tôi cà-phê đen hai sữa chua dâu một muốn
Tôi muốn một ly cà phê sữa và một ly trà xoài.,Tôi cà-phê sữa một trà xoài một muốn
Tôi muốn một ly nước ép ổi,Tôi nước ép ổi một muốn
"Cho Tôi hai ly sữa tươi trân châu đường đen kem trứng, thêm đường.",Tôi trà sữa  hai đường muốn
Tôi muốn bốn ly sữa chua chanh dây và một phích cắm.,Tôi sữa chua chanh dây bốn phích cắm muốn
"Tôi muốn một ly nước ép cam, một ly trà gừng, và một ly sữa chua xoài.",Tôi nước ép cam một trà gừng một sữa chua xoài một muốn
Tôi gọi hai ly sữa chua xoài và một ly cà phê đen.,Tôi sữa chua xoài hai cà-phê đen một muốn
Cho Tôi thêm ít giấy ăn,Tôi giấy ăn muốn
Cho Tôi một ly trà hoa đậu biếc và ba ly nước ép cam.,Tôi trà hoa đậu biếc một nước ép cam ba muốn
Tôi gọi một ly trà gừng,Tôi trà gừng một muốn
Tôi muốn ba ly trà hoa đậu biếc.,Tôi trà hoa đậu biếc ba muốn
Mình xin cảm ơn.,mình cảm ơn
"Tôi muốn thêm đường cho ba ly trà dâu, cảm ơn.",Tôi trà dâu ba đường muốn
Cho Tôi một ly cà phê đen không đường.,Tôi cà-phê đen một đường không muốn
Tôi muốn hai ly sữa tươi trân châu đường đen kem trứng.,Tôi trà sữa  hai muốn
Mình muốn mượn phích cắm điện để sạc máy.,mình phích cắm muốn
"Tôi muốn một ly trà hoa đậu biếc, làm nhanh.",Tôi trà hoa đậu biếc một muốn
Tôi muốn một ly nước ép thơm và hai ly nước ép cam.,Tôi nước ép thơm một nước ép cam hai muốn
Tôi muốn hai ly trà xoài và thêm đá.,Tôi trà xoài hai đá muốn
Tôi gọi một ly nước cam,Tôi nước ép cam một muốn
Tôi muốn bốn ly cà phê sữa và thêm đường.,Tôi cà-phê sữa bốn đường muốn
Làm cho mình một ly trà dâu size lớn.,mình trà dâu một lớn muốn
Cho Tôi một ly sữa tươi trân châu đường đen,Tôi trà sữa một muốn
Tôi gọi một ly trà hoa đậu biếc và một ly sữa chua chanh dây.,Tôi trà hoa đậu biếc một sữa chua chanh dây một muốn
Tôi muốn ba ly sữa chua chanh dây.,Tôi sữa chua chanh dây ba muốn
Lấy giúp mình một nước ép cam ít đá thôi.,mình nước ép cam một đá ít muốn
Tôi gọi hai ly trà hoa đậu biếc và một ly sữa chua chanh dây.,Tôi trà hoa đậu biếc hai sữa chua chanh dây một muốn
Tôi lấy một ly nước ép thơm và một phích cắm.,Tôi nước ép thơm một phích cắm muốn
Tôi muốn thêm một cái ly nhỏ.,Tôi ly nhỏ một muốn
Cho Tôi một ly trà dâu và thêm giấy ăn.,Tôi trà dâu một giấy ăn muốn
Tôi muốn thêm một ly nước ép cam.,Tôi nước ép cam một muốn
"Cho Tôi một ly sữa tươi trân châu đường đen, không ngọt lắm.",Tôi trà sữa một ngọt ít muốn
"Tôi gọi ba ly sữa tươi trân châu đường đen, ít đá.",Tôi trà sữa ba đá ít muốn
Tôi muốn một ly sữa tươi trân châu đường đen kem trứng,Tôi trà sữa  một muốn
Làm cho Tôi thêm một ly cà phê sữa.,Tôi cà-phê sữa một muốn
Tôi muốn bốn ly trà dâu.,Tôi trà dâu bốn muốn
