vietnamese,vsl
Tôi muốn gọi một ly cà phê đen phin,Tôi cà-phê đen phin một muốn
Cho tôi một cà phê đen máy,Tôi cà-phê đen máy một cho
Làm cho mình một bạc xỉu đá,Mình bạc xỉu đá một làm
Mình gọi một ly bạc xỉu nóng,Mình bạc xỉu nóng một gọi
Tôi cần một ly capuchino,Tôi capuchino một cần
Cho tôi hai ly cà phê kem caramel,Tôi cà-phê kem caramel hai cho
Làm cho mình ba ly cà phê muối,Mình cà-phê muối ba làm
Mình muốn một cà phê dừa,Mình cà-phê dừa một muốn
Tôi muốn lấy một cacao đá,Tôi cacao đá một lấy
Cho tôi một cacao nóng,Tôi cacao nóng một cho
Mình cần hai ly socola đá,Mình socola đá hai cần
Làm cho tôi ba ly socala nóng,Tôi socala nóng ba làm
Tôi muốn một matcha latte,Tôi matcha latte một muốn
Cho mình một ly cà phê moca,Mình cà-phê moca một cho
Mình gọi một ly cà phê trứng đá,Mình cà-phê trứng đá một gọi
Tôi muốn hai ly cà phê trứng nóng,Tôi cà-phê trứng nóng hai muốn
Lấy cho tôi một americano,Tôi americano một lấy
Mình cần một trà xoài macchiato,Mình trà xoài macchiato một cần
Cho mình một trà dâu macchiato,Mình trà dâu macchiato một cho
Tôi muốn ba ly trà sen vàng macchiato,Tôi trà sen vàng macchiato ba muốn
Mình muốn gọi một milo macchiato,Mình milo macchiato một gọi
Tôi cần một matcha macchiato,Tôi matcha macchiato một cần
Cho tôi một khoai môn macchiato,Tôi khoai môn macchiato một cho
Làm cho mình hai socola macchiato,Mình socola macchiato hai làm
Tôi lấy một ly nước chanh xí muội,Tôi nước chanh xí muội một lấy
Mình cần một nước chanh hoa đậu biếc,Mình nước chanh hoa đậu biếc một cần
Cho tôi một nước ép thơm,Tôi nước ép thơm một cho
Làm cho tôi hai nước ép cà rốt,Tôi nước ép cà rốt hai làm
Mình muốn gọi một nước ép cà chua,Mình nước ép cà chua một gọi
Tôi muốn ba ly nước ép ổi,Tôi nước ép ổi ba muốn
Cho mình một nước ép cóc,Mình nước ép cóc một cho
Mình cần một nước ép cam,Mình nước ép cam một cần
Tôi lấy một sữa chua đào,Tôi sữa chua đào một lấy
Cho tôi một sữa chua dâu,Tôi sữa chua dâu một cho
Làm cho mình hai sữa chua xoài,Mình sữa chua xoài hai làm
Mình muốn một sữa chua cam nha đam,Mình sữa chua cam nha đam một muốn
Tôi cần ba ly sữa chua việt quất,Tôi sữa chua việt quất ba cần
Cho mình một sữa chua kiwi nha đam,Mình sữa chua kiwi nha đam một cho
Mình gọi một trà gừng,Mình trà gừng một gọi
Tôi muốn hai ly trà xoài đậu biếc macchiato,Tôi trà xoài đậu biếc macchiato hai muốn
Làm giúp tôi một ly trà dâu đậu biếc macchiato,Tôi trà dâu đậu biếc macchiato một làm
Cho mình một ly trà lipton cam thảo đá,Mình trà lipton cam thảo đá một cho
Tôi gọi một cà phê đen sài gòn phin,Tôi cà-phê đen sài gòn phin một gọi
Làm cho tôi ba cà phê đen sài gòn máy,Tôi cà-phê đen sài gòn máy ba làm
Mình muốn gọi thêm một ly cà phê muối,Mình cà-phê muối một thêm gọi
Tôi cần thêm hai ly cacao đá,Tôi cacao đá hai thêm cần
Cho tôi lấy một ly socala nóng,Tôi socala nóng một lấy cho
Làm giúp mình một cà phê moca,Mình cà-phê moca một làm
Tôi gọi thêm một americano,Tôi americano một thêm gọi
Mình muốn ba ly trà xoài macchiato,Mình trà xoài macchiato ba muốn
Cho tôi một ly khoai môn macchiato,Tôi khoai môn macchiato một cho
Tôi cần thêm một nước ép cà rốt,Tôi nước ép cà rốt một thêm cần
Mình muốn hai ly nước ép cam,Mình nước ép cam hai muốn
Lấy cho mình một sữa chua dâu,Mình sữa chua dâu một lấy
Tôi muốn ba sữa chua kiwi nha đam,Tôi sữa chua kiwi nha đam ba muốn
Cho tôi một ly sữa chua chanh dây,Tôi sữa chua chanh dây một cho
Mình cần một trà gừng nóng,Mình trà gừng một nóng cần
Tôi muốn một bạc xỉu nóng,Tôi bạc xỉu một nóng muốn
Làm cho mình một cà phê trứng đá,Mình cà-phê trứng một đá làm
Mình gọi một trà dâu macchiato,Mình trà dâu macchiato một gọi
Tôi cần một trà sen vàng macchiato,Tôi trà sen vàng macchiato một cần
Cho tôi một milo macchiato,Tôi milo macchiato một cho
